ProductID,Name,Color,SafetyStockLevel,ListPrice,Size,Weight,ProductLine,ProductSubcategoryID,ProductModelID,SellStartDate,SellEndDate
709,Mountain Bike Socks M,White,4,9.5,M,,M ,23,18,2011-05-31 00:00:00,2012-05-29 00:00:00
710,Mountain Bike Socks L,White,4,9.5,L,,M ,23,18,2011-05-31 00:00:00,2012-05-29 00:00:00
739,HL Mountain Frame - Silver 42,Silver,500,1364.5,42,2.72,M ,12,5,2011-05-31 00:00:00,
740,HL Mountain Frame - Silver 44,Silver,500,1364.5,44,2.76,M ,12,5,2011-05-31 00:00:00,2012-05-29 00:00:00
741,HL Mountain Frame - Silver 48,Silver,500,1364.5,48,2.80,M ,12,5,2011-05-31 00:00:00,2012-05-29 00:00:00
742,HL Mountain Frame - Silver  46,Silver,500,1364.5,46,2.84,M ,12,5,2011-05-31 00:00:00,
743,HL Mountain Frame - Black 42,Black,500,1349.6,42,2.72,M ,12,5,2011-05-31 00:00:00,
744,HL Mountain Frame - Black 44,Black,500,1349.6,44,2.76,M ,12,5,2011-05-31 00:00:00,2012-05-29 00:00:00
745,HL Mountain Frame - Black 48,Black,500,1349.6,48,2.80,M ,12,5,2011-05-31 00:00:00,2012-05-29 00:00:00
746,HL Mountain Frame - Black 46,Black,500,1349.6,46,2.84,M ,12,5,2011-05-31 00:00:00,
747,HL Mountain Frame - Black 38,Black,500,1349.6,38,2.68,M ,12,5,2011-05-31 00:00:00,
748,HL Mountain Frame - Silver 38,Silver,500,1364.5,38,2.68,M ,12,5,2011-05-31 00:00:00,
771,Mountain-100 Silver 38,Silver,100,3399.99,38,20.35,M ,1,19,2011-05-31 00:00:00,2012-05-29 00:00:00
772,Mountain-100 Silver 42,Silver,100,3399.99,42,20.77,M ,1,19,2011-05-31 00:00:00,2012-05-29 00:00:00
773,Mountain-100 Silver 44,Silver,100,3399.99,44,21.13,M ,1,19,2011-05-31 00:00:00,2012-05-29 00:00:00
774,Mountain-100 Silver 48,Silver,100,3399.99,48,21.42,M ,1,19,2011-05-31 00:00:00,2012-05-29 00:00:00
775,Mountain-100 Black 38,Black,100,3374.99,38,20.35,M ,1,19,2011-05-31 00:00:00,2012-05-29 00:00:00
776,Mountain-100 Black 42,Black,100,3374.99,42,20.77,M ,1,19,2011-05-31 00:00:00,2012-05-29 00:00:00
777,Mountain-100 Black 44,Black,100,3374.99,44,21.13,M ,1,19,2011-05-31 00:00:00,2012-05-29 00:00:00
778,Mountain-100 Black 48,Black,100,3374.99,48,21.42,M ,1,19,2011-05-31 00:00:00,2012-05-29 00:00:00
779,Mountain-200 Silver 38,Silver,100,2319.99,38,23.35,M ,1,20,2012-05-30 00:00:00,
780,Mountain-200 Silver 42,Silver,100,2319.99,42,23.77,M ,1,20,2012-05-30 00:00:00,
781,Mountain-200 Silver 46,Silver,100,2319.99,46,24.13,M ,1,20,2012-05-30 00:00:00,
782,Mountain-200 Black 38,Black,100,2294.99,38,23.35,M ,1,20,2012-05-30 00:00:00,
783,Mountain-200 Black 42,Black,100,2294.99,42,23.77,M ,1,20,2012-05-30 00:00:00,
784,Mountain-200 Black 46,Black,100,2294.99,46,24.13,M ,1,20,2012-05-30 00:00:00,
